実行ディレクトリ : /work/my_research/step3/results/phase2_20260616_004705
デバイス         : cuda
Phase            : 2 (MG 専用訓練、SM frozen)
基盤モデル       : /work/data/result/exp1_l1/0/model/00200.pth
A-2 行動         : MultiPrefAgent (4 選好、エピソードごとランダム)
マスク戦略       : step>0 → p_mask=1.0 (self & other)
学習方式         : BPTT (エピソード全体で loss 積算、1回 backward)
LR_MG            : 0.001  (AdamW, weight_decay=0.01)
再開 checkpoint  : /work/my_research/step3/results/phase2_20260615_193019/model_phase2.pth
EPISODES         : 5000
MAX_STEPS        : 100

チェックポイントから再開: /work/my_research/step3/results/phase2_20260615_193019/model_phase2.pth

パラメータ数:
  frozen (SM 等) : 457,427
  trainable (MG) : 99,586

=== Phase 2 学習開始 ===

Episode   100/5000 | Loss=0.90432 | MG_L2=3.1606 | r=(0.049,0.125) | pref=[Blue:31 Cyan:25 Green:21 Red:23]
Episode   200/5000 | Loss=0.77202 | MG_L2=3.0950 | r=(0.099,0.123) | pref=[Blue:57 Cyan:50 Green:49 Red:44]
Episode   300/5000 | Loss=0.74875 | MG_L2=3.0400 | r=(0.079,0.096) | pref=[Blue:79 Cyan:72 Green:78 Red:71]
Episode   400/5000 | Loss=0.75784 | MG_L2=2.9956 | r=(0.096,0.081) | pref=[Blue:104 Cyan:100 Green:96 Red:100]
Episode   500/5000 | Loss=0.72308 | MG_L2=2.9610 | r=(0.139,0.146) | pref=[Blue:130 Cyan:124 Green:124 Red:122]
Episode   600/5000 | Loss=0.73045 | MG_L2=2.9255 | r=(0.052,0.202) | pref=[Blue:150 Cyan:152 Green:152 Red:146]
Episode   700/5000 | Loss=0.72838 | MG_L2=2.8945 | r=(0.097,0.216) | pref=[Blue:172 Cyan:180 Green:175 Red:173]
Episode   800/5000 | Loss=0.73787 | MG_L2=2.8659 | r=(0.150,0.156) | pref=[Blue:196 Cyan:210 Green:198 Red:196]
Episode   900/5000 | Loss=0.71332 | MG_L2=2.8400 | r=(0.235,0.253) | pref=[Blue:218 Cyan:236 Green:229 Red:217]
Episode  1000/5000 | Loss=0.72640 | MG_L2=2.8035 | r=(0.160,0.220) | pref=[Blue:243 Cyan:260 Green:256 Red:241]
Episode  1100/5000 | Loss=0.72464 | MG_L2=2.7906 | r=(0.179,0.200) | pref=[Blue:266 Cyan:283 Green:279 Red:272]
Episode  1200/5000 | Loss=0.70685 | MG_L2=2.7800 | r=(0.327,0.340) | pref=[Blue:291 Cyan:309 Green:308 Red:292]
Episode  1300/5000 | Loss=0.71410 | MG_L2=2.7598 | r=(0.240,0.292) | pref=[Blue:317 Cyan:338 Green:336 Red:309]
Episode  1400/5000 | Loss=0.69502 | MG_L2=2.7428 | r=(0.312,0.282) | pref=[Blue:341 Cyan:358 Green:365 Red:336]
Episode  1500/5000 | Loss=0.71162 | MG_L2=2.7165 | r=(0.243,0.258) | pref=[Blue:367 Cyan:380 Green:389 Red:364]
Episode  1600/5000 | Loss=0.68767 | MG_L2=2.7033 | r=(0.281,0.279) | pref=[Blue:385 Cyan:401 Green:423 Red:391]
Episode  1700/5000 | Loss=0.69374 | MG_L2=2.6774 | r=(0.245,0.258) | pref=[Blue:403 Cyan:427 Green:456 Red:414]
Episode  1800/5000 | Loss=0.70458 | MG_L2=2.6702 | r=(0.359,0.333) | pref=[Blue:430 Cyan:451 Green:479 Red:440]
Episode  1900/5000 | Loss=0.71782 | MG_L2=2.6693 | r=(0.309,0.338) | pref=[Blue:456 Cyan:474 Green:503 Red:467]
